Condition_ID,Trial_Number,Status,Scenario,Material,Thickness_cm,Water_Volume_L,Relays_Count,Distance_m,Mean_RSSI_dBm,Packet_Loss_pct,Notes
C001,1,Planned,LOS,None,N/A,N/A,0,10,,,
C001,2,Planned,LOS,None,N/A,N/A,0,10,,,
C002,1,Planned,LOS,None,N/A,N/A,1,10,,,
C002,2,Planned,LOS,None,N/A,N/A,1,10,,,
C003,1,Planned,LOS,None,N/A,N/A,2,10,,,
C003,2,Planned,LOS,None,N/A,N/A,2,10,,,
C004,1,Planned,LOS,None,N/A,N/A,0,20,,,
C004,2,Planned,LOS,None,N/A,N/A,0,20,,,
C005,1,Planned,LOS,None,N/A,N/A,1,20,,,
C005,2,Planned,LOS,None,N/A,N/A,1,20,,,
C006,1,Planned,LOS,None,N/A,N/A,2,20,,,
C006,2,Planned,LOS,None,N/A,N/A,2,20,,,
C007,1,Planned,LOS,None,N/A,N/A,0,30,,,
C007,2,Planned,LOS,None,N/A,N/A,0,30,,,
C008,1,Planned,LOS,None,N/A,N/A,1,30,,,
C008,2,Planned,LOS,None,N/A,N/A,1,30,,,
C009,1,Planned,LOS,None,N/A,N/A,2,30,,,
C009,2,Planned,LOS,None,N/A,N/A,2,30,,,
C010,1,Planned,LOS,None,N/A,N/A,0,40,,,
C010,2,Planned,LOS,None,N/A,N/A,0,40,,,
C011,1,Planned,LOS,None,N/A,N/A,1,40,,,
C011,2,Planned,LOS,None,N/A,N/A,1,40,,,
C012,1,Planned,LOS,None,N/A,N/A,2,40,,,
C012,2,Planned,LOS,None,N/A,N/A,2,40,,,
C013,1,Planned,LOS,Concrete,,N/A,0,10,,,
C013,2,Planned,LOS,Concrete,,N/A,0,10,,,
C014,1,Planned,LOS,Concrete,,N/A,1,10,,,
C014,2,Planned,LOS,Concrete,,N/A,1,10,,,
C015,1,Planned,LOS,Concrete,,N/A,2,10,,,
C015,2,Planned,LOS,Concrete,,N/A,2,10,,,
C016,1,Planned,LOS,Concrete,,N/A,0,20,,,
C016,2,Planned,LOS,Concrete,,N/A,0,20,,,
C017,1,Planned,LOS,Concrete,,N/A,1,20,,,
C017,2,Planned,LOS,Concrete,,N/A,1,20,,,
C018,1,Planned,LOS,Concrete,,N/A,2,20,,,
C018,2,Planned,LOS,Concrete,,N/A,2,20,,,
C019,1,Planned,LOS,Concrete,,N/A,0,30,,,
C019,2,Planned,LOS,Concrete,,N/A,0,30,,,
C020,1,Planned,LOS,Concrete,,N/A,1,30,,,
C020,2,Planned,LOS,Concrete,,N/A,1,30,,,
C021,1,Planned,LOS,Concrete,,N/A,2,30,,,
C021,2,Planned,LOS,Concrete,,N/A,2,30,,,
C022,1,Planned,LOS,Concrete,,N/A,0,40,,,
C022,2,Planned,LOS,Concrete,,N/A,0,40,,,
C023,1,Planned,LOS,Concrete,,N/A,1,40,,,
C023,2,Planned,LOS,Concrete,,N/A,1,40,,,
C024,1,Planned,LOS,Concrete,,N/A,2,40,,,
C024,2,Planned,LOS,Concrete,,N/A,2,40,,,
C025,1,Planned,LOS,Metal,,N/A,0,10,,,
C025,2,Planned,LOS,Metal,,N/A,0,10,,,
C026,1,Planned,LOS,Metal,,N/A,1,10,,,
C026,2,Planned,LOS,Metal,,N/A,1,10,,,
C027,1,Planned,LOS,Metal,,N/A,2,10,,,
C027,2,Planned,LOS,Metal,,N/A,2,10,,,
C028,1,Planned,LOS,Metal,,N/A,0,20,,,
C028,2,Planned,LOS,Metal,,N/A,0,20,,,
C029,1,Planned,LOS,Metal,,N/A,1,20,,,
C029,2,Planned,LOS,Metal,,N/A,1,20,,,
C030,1,Planned,LOS,Metal,,N/A,2,20,,,
C030,2,Planned,LOS,Metal,,N/A,2,20,,,
C031,1,Planned,LOS,Metal,,N/A,0,30,,,
C031,2,Planned,LOS,Metal,,N/A,0,30,,,
C032,1,Planned,LOS,Metal,,N/A,1,30,,,
C032,2,Planned,LOS,Metal,,N/A,1,30,,,
C033,1,Planned,LOS,Metal,,N/A,2,30,,,
C033,2,Planned,LOS,Metal,,N/A,2,30,,,
C034,1,Planned,LOS,Metal,,N/A,0,40,,,
C034,2,Planned,LOS,Metal,,N/A,0,40,,,
C035,1,Planned,LOS,Metal,,N/A,1,40,,,
C035,2,Planned,LOS,Metal,,N/A,1,40,,,
C036,1,Planned,LOS,Metal,,N/A,2,40,,,
C036,2,Planned,LOS,Metal,,N/A,2,40,,,
C037,1,Planned,LOS,Water,N/A,,0,10,,,
C037,2,Planned,LOS,Water,N/A,,0,10,,,
C038,1,Planned,LOS,Water,N/A,,1,10,,,
C038,2,Planned,LOS,Water,N/A,,1,10,,,
C039,1,Planned,LOS,Water,N/A,,2,10,,,
C039,2,Planned,LOS,Water,N/A,,2,10,,,
C040,1,Planned,LOS,Water,N/A,,0,20,,,
C040,2,Planned,LOS,Water,N/A,,0,20,,,
C041,1,Planned,LOS,Water,N/A,,1,20,,,
C041,2,Planned,LOS,Water,N/A,,1,20,,,
C042,1,Planned,LOS,Water,N/A,,2,20,,,
C042,2,Planned,LOS,Water,N/A,,2,20,,,
C043,1,Planned,LOS,Water,N/A,,0,30,,,
C043,2,Planned,LOS,Water,N/A,,0,30,,,
C044,1,Planned,LOS,Water,N/A,,1,30,,,
C044,2,Planned,LOS,Water,N/A,,1,30,,,
C045,1,Planned,LOS,Water,N/A,,2,30,,,
C045,2,Planned,LOS,Water,N/A,,2,30,,,
C046,1,Planned,LOS,Water,N/A,,0,40,,,
C046,2,Planned,LOS,Water,N/A,,0,40,,,
C047,1,Planned,LOS,Water,N/A,,1,40,,,
C047,2,Planned,LOS,Water,N/A,,1,40,,,
C048,1,Planned,LOS,Water,N/A,,2,40,,,
C048,2,Planned,LOS,Water,N/A,,2,40,,,
C049,1,Planned,NLOS Corner,None,N/A,N/A,0,10,,,
C049,2,Planned,NLOS Corner,None,N/A,N/A,0,10,,,
C050,1,Planned,NLOS Corner,None,N/A,N/A,1,10,,,
C050,2,Planned,NLOS Corner,None,N/A,N/A,1,10,,,
C051,1,Planned,NLOS Corner,None,N/A,N/A,2,10,,,
C051,2,Planned,NLOS Corner,None,N/A,N/A,2,10,,,
C052,1,Planned,NLOS Corner,None,N/A,N/A,0,20,,,
C052,2,Planned,NLOS Corner,None,N/A,N/A,0,20,,,
C053,1,Planned,NLOS Corner,None,N/A,N/A,1,20,,,
C053,2,Planned,NLOS Corner,None,N/A,N/A,1,20,,,
C054,1,Planned,NLOS Corner,None,N/A,N/A,2,20,,,
C054,2,Planned,NLOS Corner,None,N/A,N/A,2,20,,,
C055,1,Planned,NLOS Corner,None,N/A,N/A,0,30,,,
C055,2,Planned,NLOS Corner,None,N/A,N/A,0,30,,,
C056,1,Planned,NLOS Corner,None,N/A,N/A,1,30,,,
C056,2,Planned,NLOS Corner,None,N/A,N/A,1,30,,,
C057,1,Planned,NLOS Corner,None,N/A,N/A,2,30,,,
C057,2,Planned,NLOS Corner,None,N/A,N/A,2,30,,,
C058,1,Planned,NLOS Corner,None,N/A,N/A,0,40,,,
C058,2,Planned,NLOS Corner,None,N/A,N/A,0,40,,,
C059,1,Planned,NLOS Corner,None,N/A,N/A,1,40,,,
C059,2,Planned,NLOS Corner,None,N/A,N/A,1,40,,,
C060,1,Planned,NLOS Corner,None,N/A,N/A,2,40,,,
C060,2,Planned,NLOS Corner,None,N/A,N/A,2,40,,,
C061,1,Planned,NLOS Corner,Concrete,,N/A,0,10,,,
C061,2,Planned,NLOS Corner,Concrete,,N/A,0,10,,,
C062,1,Planned,NLOS Corner,Concrete,,N/A,1,10,,,
C062,2,Planned,NLOS Corner,Concrete,,N/A,1,10,,,
C063,1,Planned,NLOS Corner,Concrete,,N/A,2,10,,,
C063,2,Planned,NLOS Corner,Concrete,,N/A,2,10,,,
C064,1,Planned,NLOS Corner,Concrete,,N/A,0,20,,,
C064,2,Planned,NLOS Corner,Concrete,,N/A,0,20,,,
C065,1,Planned,NLOS Corner,Concrete,,N/A,1,20,,,
C065,2,Planned,NLOS Corner,Concrete,,N/A,1,20,,,
C066,1,Planned,NLOS Corner,Concrete,,N/A,2,20,,,
C066,2,Planned,NLOS Corner,Concrete,,N/A,2,20,,,
C067,1,Planned,NLOS Corner,Concrete,,N/A,0,30,,,
C067,2,Planned,NLOS Corner,Concrete,,N/A,0,30,,,
C068,1,Planned,NLOS Corner,Concrete,,N/A,1,30,,,
C068,2,Planned,NLOS Corner,Concrete,,N/A,1,30,,,
C069,1,Planned,NLOS Corner,Concrete,,N/A,2,30,,,
C069,2,Planned,NLOS Corner,Concrete,,N/A,2,30,,,
C070,1,Planned,NLOS Corner,Concrete,,N/A,0,40,,,
C070,2,Planned,NLOS Corner,Concrete,,N/A,0,40,,,
C071,1,Planned,NLOS Corner,Concrete,,N/A,1,40,,,
C071,2,Planned,NLOS Corner,Concrete,,N/A,1,40,,,
C072,1,Planned,NLOS Corner,Concrete,,N/A,2,40,,,
C072,2,Planned,NLOS Corner,Concrete,,N/A,2,40,,,
C073,1,Planned,NLOS Corner,Metal,,N/A,0,10,,,
C073,2,Planned,NLOS Corner,Metal,,N/A,0,10,,,
C074,1,Planned,NLOS Corner,Metal,,N/A,1,10,,,
C074,2,Planned,NLOS Corner,Metal,,N/A,1,10,,,
C075,1,Planned,NLOS Corner,Metal,,N/A,2,10,,,
C075,2,Planned,NLOS Corner,Metal,,N/A,2,10,,,
C076,1,Planned,NLOS Corner,Metal,,N/A,0,20,,,
C076,2,Planned,NLOS Corner,Metal,,N/A,0,20,,,
C077,1,Planned,NLOS Corner,Metal,,N/A,1,20,,,
C077,2,Planned,NLOS Corner,Metal,,N/A,1,20,,,
C078,1,Planned,NLOS Corner,Metal,,N/A,2,20,,,
C078,2,Planned,NLOS Corner,Metal,,N/A,2,20,,,
C079,1,Planned,NLOS Corner,Metal,,N/A,0,30,,,
C079,2,Planned,NLOS Corner,Metal,,N/A,0,30,,,
C080,1,Planned,NLOS Corner,Metal,,N/A,1,30,,,
C080,2,Planned,NLOS Corner,Metal,,N/A,1,30,,,
C081,1,Planned,NLOS Corner,Metal,,N/A,2,30,,,
C081,2,Planned,NLOS Corner,Metal,,N/A,2,30,,,
C082,1,Planned,NLOS Corner,Metal,,N/A,0,40,,,
C082,2,Planned,NLOS Corner,Metal,,N/A,0,40,,,
C083,1,Planned,NLOS Corner,Metal,,N/A,1,40,,,
C083,2,Planned,NLOS Corner,Metal,,N/A,1,40,,,
C084,1,Planned,NLOS Corner,Metal,,N/A,2,40,,,
C084,2,Planned,NLOS Corner,Metal,,N/A,2,40,,,
C085,1,Planned,NLOS Corner,Water,N/A,,0,10,,,
C085,2,Planned,NLOS Corner,Water,N/A,,0,10,,,
C086,1,Planned,NLOS Corner,Water,N/A,,1,10,,,
C086,2,Planned,NLOS Corner,Water,N/A,,1,10,,,
C087,1,Planned,NLOS Corner,Water,N/A,,2,10,,,
C087,2,Planned,NLOS Corner,Water,N/A,,2,10,,,
C088,1,Planned,NLOS Corner,Water,N/A,,0,20,,,
C088,2,Planned,NLOS Corner,Water,N/A,,0,20,,,
C089,1,Planned,NLOS Corner,Water,N/A,,1,20,,,
C089,2,Planned,NLOS Corner,Water,N/A,,1,20,,,
C090,1,Planned,NLOS Corner,Water,N/A,,2,20,,,
C090,2,Planned,NLOS Corner,Water,N/A,,2,20,,,
C091,1,Planned,NLOS Corner,Water,N/A,,0,30,,,
C091,2,Planned,NLOS Corner,Water,N/A,,0,30,,,
C092,1,Planned,NLOS Corner,Water,N/A,,1,30,,,
C092,2,Planned,NLOS Corner,Water,N/A,,1,30,,,
C093,1,Planned,NLOS Corner,Water,N/A,,2,30,,,
C093,2,Planned,NLOS Corner,Water,N/A,,2,30,,,
C094,1,Planned,NLOS Corner,Water,N/A,,0,40,,,
C094,2,Planned,NLOS Corner,Water,N/A,,0,40,,,
C095,1,Planned,NLOS Corner,Water,N/A,,1,40,,,
C095,2,Planned,NLOS Corner,Water,N/A,,1,40,,,
C096,1,Planned,NLOS Corner,Water,N/A,,2,40,,,
C096,2,Planned,NLOS Corner,Water,N/A,,2,40,,,
